gene,rf_importance
ABCB1,0.17088664885260507
PRSS3,0.026456389952938218
DUSP6,0.024178534685548154
ELAVL2,0.021556076235835157
MIR205HG,0.01611401404837138
CTSZ,0.013689490034461082
STMN2,0.013029007567395483
CDX2,0.012983751946693706
IFITM2,0.011646982640228766
SDC2,0.011552941031743478
MDK,0.010566166697630408
S100A4,0.010034864719165886
HSPA1A,0.010032093585579707
PTN,0.00967300785703688
FBP1,0.009549848528262501
S100A11,0.0086104454118899
AKR1C3,0.008528592246474431
RAMP1,0.007928652267892968
TFAP2B,0.007909390704373919
CHRNA3,0.007439652718868591
PHOX2B,0.007213197278198133
SLC10A4,0.006834648772375203
RARRES2,0.006505231723367435
TM4SF1,0.006463665071874969
IFI16,0.006375789733674337
TUBB2B,0.006257262476093198
FOS,0.006221176241642228
DUSP4,0.006098805153627204
SULF2,0.006020009228139973
EMC10,0.005839761860953279
C3,0.005763337187843657
FABP1,0.005745634132907539
CPE,0.00561764851003955
GDF15,0.005561174683720007
PRSS23,0.0053508108128342245
KRTCAP3,0.005305214355612963
BASP1,0.005161735856905619
MYOF,0.005116554428083594
GPX2,0.004950614510680135
KRT19,0.004892901600724296
CAV2,0.004882167664977346
UGT2B7,0.004868182803741841
TSPAN8,0.004821231595844398
PRPH,0.004797120950994448
TWIST1,0.004726822801594773
SFN,0.004660737934721456
IGF2,0.004632766885754647
SYCP2,0.00460473705930453
CA12,0.00457445412358181
SCG2,0.004527151102108923
